Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
5000	12	76	8	0	0	8	68
5001	12	72	16	0	0	16	56
5002	13	88	32	0	0	32	56
5003	12	68	32	2	0	34	34
5004	12	72	16	0	0	16	56
5005	13	88	16	0	0	16	72
5006	13	88	32	0	0	32	56
5007	12	68	16	2	0	18	50
5008	12	68	32	0	0	32	36
5009	11	55	16	1	0	17	38
5010	11	51	6	6	0	12	39
5011	12	63	12	0	0	12	51
5012	12	68	32	0	0	32	36
5013	12	68	16	0	0	16	52
5014	13	84	32	0	0	32	52
5015	13	84	32	0	0	32	52
5016	12	68	16	0	0	16	52
5017	11	52	16	0	0	16	36
5018	11	51	3	3	0	6	45
5019	12	63	6	0	0	6	57
5020	11	56	8	1	0	9	47
5021	12	68	8	8	0	16	52
5022	13	84	16	0	0	16	68
5023	12	72	32	0	0	32	40
5024	12	63	24	0	0	24	39
5025	12	63	12	0	0	12	51
5026	12	63	24	0	0	24	39
5027	11	51	12	0	0	12	39
5028	12	72	32	0	0	32	40
5029	11	51	6	6	0	12	39
5030	11	51	12	0	0	12	39
5031	12	68	32	2	0	34	34
5032	11	52	8	4	0	12	40
5033	11	48	6	2	0	8	40
5034	11	48	12	1	0	13	35
5035	11	48	12	1	0	13	35
5036	11	48	12	0	0	12	36
5037	11	48	24	1	0	25	23
5038	11	56	32	0	0	32	24
5039	11	56	16	0	0	16	40
5040	10	35	6	2	0	8	27
5041	12	72	8	2	0	10	62
5042	12	68	8	0	0	8	60
5043	11	55	8	1	0	9	46
5044	12	63	6	0	0	6	57
5045	11	54	9	0	0	9	45
5046	12	72	30	0	0	30	42
5047	11	54	6	0	0	6	48
5048	11	55	12	1	0	13	42
5049	11	55	6	0	0	6	49
5050	12	63	12	0	0	12	51
5051	11	54	6	0	0	6	48
5052	12	72	36	0	0	36	36
5053	11	54	12	0	0	12	42
5054	12	72	16	0	0	16	56
5055	12	68	16	0	0	16	52
5056	12	68	16	0	0	16	52
5057	11	52	16	0	0	16	36
5058	11	52	16	0	0	16	36
5059	11	55	8	1	0	9	46
5060	13	84	16	0	0	16	68
5061	12	72	12	0	0	12	60
