P	|V|	|F|	|S|	|B|	|A|	|X|	|E|
0	8	14	4	1	0	5	9
1	7	10	5	5	0	10	0
2	8	18	4	4	0	8	10
3	9	20	8	4	0	12	8
4	10	24	8	0	0	8	16
5	9	20	4	4	0	8	12
6	9	22	6	2	0	8	14
7	8	16	8	8	0	16	0
8	8	16	4	4	0	8	8
9	9	20	4	0	0	4	16
10	9	22	6	2	0	8	14
11	9	22	4	0	0	4	18
12	8	16	6	2	0	8	8
13	9	22	6	2	0	8	14
14	9	22	6	2	0	8	14
15	9	22	6	0	0	6	16
16	8	18	6	1	0	7	11
17	8	16	8	8	0	16	0
18	8	16	8	0	0	8	8
19	7	12	8	4	0	12	0
20	10	36	16	0	0	16	20
21	9	28	4	4	0	8	20
22	9	26	4	2	0	6	20
23	9	26	6	0	0	6	20
24	8	20	4	2	0	6	14
25	9	20	4	4	0	8	12
26	10	24	4	0	0	4	20
27	9	20	4	4	0	8	12
28	9	22	3	1	0	4	18
29	9	20	8	0	0	8	12
30	8	16	4	4	0	8	8
31	9	22	3	1	0	4	18
32	8	16	4	4	0	8	8
33	9	20	4	0	0	4	16
34	10	30	4	0	0	4	26
35	9	26	4	0	0	4	22
36	9	22	6	1	0	7	15
37	8	18	6	1	0	7	11
38	9	24	12	1	0	13	11
39	9	26	8	0	0	8	18
40	9	22	3	1	0	4	18
41	9	22	6	0	0	6	16
42	8	18	3	1	0	4	14
43	8	18	6	1	0	7	11
44	8	16	4	4	0	8	8
45	9	20	8	0	0	8	12
46	8	16	8	4	0	12	4
47	8	16	4	0	0	4	12
48	7	12	4	4	0	8	4
49	9	24	6	3	0	9	15
50	8	18	9	9	0	18	0
51	9	24	6	3	0	9	15
52	9	24	3	0	0	3	21
53	8	18	6	3	0	9	9
54	9	24	4	1	0	5	19
55	9	24	6	3	0	9	15
56	9	24	3	0	0	3	21
57	8	18	6	3	0	9	9
58	10	32	8	0	0	8	24
59	9	26	4	2	0	6	20
60	9	28	6	4	0	10	18
61	9	26	4	2	0	6	20
62	9	24	3	3	0	6	18
63	9	24	9	0	0	9	15
64	8	18	3	6	0	9	9
65	10	34	12	0	0	12	22
66	9	26	4	8	0	12	14
67	10	34	6	0	0	6	28
68	9	26	2	4	0	6	20
69	10	34	8	0	0	8	26
70	9	26	4	4	0	8	18
71	9	26	12	0	0	12	14
72	9	28	6	2	0	8	20
73	10	34	12	0	0	12	22
74	10	34	12	0	0	12	22
75	9	28	12	0	0	12	16
76	9	28	8	4	0	12	16
77	9	26	4	8	0	12	14
78	9	26	6	0	0	6	20
79	8	20	4	4	0	8	12
80	10	30	12	6	0	18	12
81	11	36	12	0	0	12	24
82	10	30	6	6	0	12	18
83	10	32	8	4	0	12	20
84	9	24	12	12	0	24	0
85	9	24	6	6	0	12	12
86	10	30	6	0	0	6	24
87	10	30	6	6	0	12	18
88	11	36	6	0	0	6	30
89	10	30	6	6	0	12	18
90	10	32	4	2	0	6	26
91	10	30	12	0	0	12	18
92	9	24	6	6	0	12	12
93	10	30	8	2	0	10	20
94	11	36	8	0	0	8	28
95	10	30	4	2	0	6	24
96	10	30	6	0	0	6	24
97	11	36	6	0	0	6	30
98	10	30	6	6	0	12	18
99	10	32	8	2	0	10	22
100	10	30	12	6	0	18	12
101	11	36	12	0	0	12	24
102	11	36	12	0	0	12	24
103	10	30	6	6	0	12	18
104	10	30	6	0	0	6	24
105	9	24	6	3	0	9	15
106	9	24	12	3	0	15	9
107	9	24	6	3	0	9	15
108	10	32	8	4	0	12	20
109	10	32	4	0	0	4	28
110	9	24	8	4	0	12	12
111	10	32	8	4	0	12	20
112	10	32	8	4	0	12	20
113	10	32	8	0	0	8	24
114	9	26	8	2	0	10	16
115	9	24	12	12	0	24	0
116	9	24	12	0	0	12	12
117	8	18	12	6	0	18	0
118	10	30	6	3	0	9	21
119	11	36	6	0	0	6	30
120	10	30	3	3	0	6	24
121	9	24	6	6	0	12	12
122	10	30	6	0	0	6	24
123	12	48	12	0	0	12	36
124	11	40	4	1	0	5	35
125	10	34	4	0	0	4	30
126	10	30	6	0	0	6	24
127	11	36	18	0	0	18	18
128	10	30	6	3	0	9	21
129	9	24	6	0	0	6	18
130	9	24	3	3	0	6	18
131	10	32	4	2	0	6	26
132	10	32	2	0	0	2	30
133	9	24	4	2	0	6	18
134	10	32	8	2	0	10	22
135	10	32	4	2	0	6	26
136	10	32	8	0	0	8	24
137	9	26	4	0	0	4	22
138	9	24	6	6	0	12	12
139	10	30	12	0	0	12	18
140	9	24	12	0	0	12	12
141	9	24	6	0	0	6	18
142	8	18	6	0	0	6	12
143	9	24	4	2	0	6	18
144	10	30	4	0	0	4	26
145	9	26	4	1	0	5	21
146	9	24	6	3	0	9	15
147	9	24	6	0	0	6	18
148	10	30	12	0	0	12	18
149	9	24	4	1	0	5	19
150	9	26	4	2	0	6	20
151	9	24	6	6	0	12	12
152	10	30	6	0	0	6	24
153	10	30	12	0	0	12	18
