P	|V|	|F|	|S|	|B|	|A|	|X|	|E|
154	9	24	6	0	0	6	18
155	9	24	12	0	0	12	12
156	8	18	6	3	0	9	9
157	10	32	8	4	0	12	20
158	10	32	4	0	0	4	28
159	9	24	8	4	0	12	12
160	10	32	4	0	0	4	28
161	10	34	8	0	0	8	26
162	10	32	16	4	0	20	12
163	10	32	8	4	0	12	20
164	10	32	16	0	0	16	16
165	9	26	8	2	0	10	16
166	10	32	12	0	0	12	20
167	9	24	4	0	0	4	20
168	10	32	8	0	0	8	24
169	10	32	4	0	0	4	28
170	10	32	8	0	0	8	24
171	9	26	4	0	0	4	22
172	9	24	8	4	0	12	12
173	9	24	8	0	0	8	16
174	8	18	8	2	0	10	8
175	9	24	12	3	0	15	9
176	9	24	6	3	0	9	15
177	10	34	8	0	0	8	26
178	9	28	8	2	0	10	18
179	9	24	6	3	0	9	15
180	9	26	4	1	0	5	21
181	9	24	6	3	0	9	15
182	10	32	16	4	0	20	12
183	9	26	16	2	0	18	8
184	9	24	3	0	0	3	21
185	9	28	8	0	0	8	20
186	10	32	8	4	0	12	20
187	10	32	16	0	0	16	16
188	9	26	8	2	0	10	16
189	9	24	12	3	0	15	9
190	9	24	6	0	0	6	18
191	9	24	6	3	0	9	15
192	9	24	12	0	0	12	12
193	8	18	6	1	0	7	11
194	8	18	9	9	0	18	0
195	8	18	6	3	0	9	9
196	8	18	6	3	0	9	9
197	8	20	8	2	0	10	10
198	9	24	12	12	0	24	0
199	9	24	12	0	0	12	12
200	8	18	12	6	0	18	0
201	8	18	6	3	0	9	9
202	8	18	9	9	0	18	0
203	9	24	24	0	0	24	0
204	8	18	9	0	0	9	9
205	8	18	18	0	0	18	0
206	7	12	9	3	0	12	0
207	9	26	4	2	0	6	20
208	10	32	4	0	0	4	28
209	10	36	16	0	0	16	20
210	9	26	6	2	0	8	18
211	10	34	4	1	0	5	29
212	10	36	3	2	0	5	31
213	10	36	6	0	0	6	30
214	9	28	4	1	0	5	23
215	10	34	6	0	0	6	28
216	9	26	2	4	0	6	20
217	9	28	3	2	0	5	23
218	10	38	17	0	0	17	21
219	9	28	4	2	0	6	22
220	10	38	20	0	0	20	18
221	9	28	3	2	0	5	23
222	10	36	10	0	0	10	26
223	9	28	3	2	0	5	23
224	10	34	17	0	0	17	17
225	9	26	6	2	0	8	18
226	9	28	3	0	0	3	25
227	10	34	6	0	0	6	28
228	9	28	6	0	0	6	22
229	9	26	3	4	0	7	19
230	10	36	10	2	0	12	24
231	11	48	21	0	0	21	27
232	10	36	6	1	0	7	29
233	8	20	3	4	0	7	13
234	9	28	17	0	0	17	11
235	11	42	20	0	0	20	22
236	10	34	6	4	0	10	24
237	10	36	3	2	0	5	31
238	10	34	6	4	0	10	24
239	11	42	6	0	0	6	36
240	11	42	20	0	0	20	22
241	11	42	12	0	0	12	30
242	10	34	4	2	0	6	28
243	10	34	6	2	0	8	26
244	11	46	24	2	0	26	20
245	12	60	24	0	0	24	36
246	11	46	6	0	0	6	40
247	11	46	12	2	0	14	32
248	10	34	4	4	0	8	26
249	10	34	6	0	0	6	28
250	9	26	6	4	0	10	16
251	10	34	20	0	0	20	14
252	9	26	4	4	0	8	18
253	9	26	3	4	0	7	19
254	10	34	6	0	0	6	28
255	10	34	16	0	0	16	18
256	10	34	6	0	0	6	28
257	11	42	42	0	0	42	0
258	10	34	16	0	0	16	18
259	9	26	6	0	0	6	20
260	9	26	6	2	0	8	18
261	10	32	6	0	0	6	26
262	10	36	20	0	0	20	16
263	11	42	20	0	0	20	22
264	10	34	6	4	0	10	24
265	10	32	20	0	0	20	12
266	10	36	36	0	0	36	0
267	9	26	6	2	0	8	18
268	9	26	16	0	0	16	10
269	10	34	6	4	0	10	24
270	11	46	24	2	0	26	20
271	12	60	60	0	0	60	0
272	10	36	36	0	0	36	0
273	9	26	6	2	0	8	18
274	9	26	6	2	0	8	18
275	9	26	16	2	0	18	8
276	9	26	6	8	0	14	12
277	10	34	34	0	0	34	0
278	9	28	16	0	0	16	12
279	9	28	16	4	0	20	8
280	8	18	6	4	0	10	8
281	10	30	6	6	0	12	18
282	11	36	6	0	0	6	30
283	10	30	6	6	0	12	18
284	10	30	6	3	0	9	21
285	11	36	6	0	0	6	30
286	10	30	3	3	0	6	24
287	10	32	4	2	0	6	26
288	10	30	12	0	0	12	18
289	9	24	6	6	0	12	12
290	10	32	4	2	0	6	26
291	9	24	6	6	0	12	12
292	10	30	6	0	0	6	24
293	10	30	3	3	0	6	24
294	11	36	3	0	0	3	33
295	10	30	3	3	0	6	24
296	10	32	2	1	0	3	29
297	10	30	6	0	0	6	24
298	9	24	3	3	0	6	18
299	11	40	8	1	0	9	31
300	12	48	8	0	0	8	40
301	11	40	4	1	0	5	35
302	10	34	8	1	0	9	25
303	10	34	4	1	0	5	29
304	10	30	3	0	0	3	27
305	11	36	6	0	0	6	30
306	10	30	6	3	0	9	21
307	10	34	8	1	0	9	25
308	10	30	6	3	0	9	21
309	11	36	6	0	0	6	30
310	11	36	18	0	0	18	18
311	10	30	3	3	0	6	24
312	10	30	6	0	0	6	24
313	9	24	6	3	0	9	15
314	9	24	3	3	0	6	18
315	10	34	4	4	0	8	26
316	11	42	8	0	0	8	34
317	11	42	4	0	0	4	38
318	11	42	4	0	0	4	38
319	10	36	6	0	0	6	30
320	11	48	20	0	0	20	28
321	10	36	4	0	0	4	32
322	10	34	8	4	0	12	22
323	10	32	8	2	0	10	22
324	9	26	8	2	0	10	16
325	10	34	4	0	0	4	30
326	11	42	8	0	0	8	34
327	10	34	16	0	0	16	18
328	10	36	8	0	0	8	28
329	10	32	4	2	0	6	26
330	10	32	8	0	0	8	24
331	9	26	4	0	0	4	22
332	9	26	8	2	0	10	16
333	9	24	6	6	0	12	12
334	10	30	12	0	0	12	18
335	9	24	12	6	0	18	6
336	9	24	6	0	0	6	18
337	8	18	6	6	0	12	6
338	10	30	4	2	0	6	24
339	11	36	4	0	0	4	32
340	10	30	12	6	0	18	12
341	11	36	12	0	0	12	24
342	10	30	6	0	0	6	24
343	10	32	4	2	0	6	26
344	10	30	6	6	0	12	18
345	11	36	6	0	0	6	30
346	11	36	12	0	0	12	24
347	10	30	12	0	0	12	18
348	9	24	6	3	0	9	15
349	9	24	3	3	0	6	18
350	10	30	3	0	0	3	27
351	10	32	4	2	0	6	26
352	10	32	2	0	0	2	30
353	10	30	8	0	0	8	22
354	9	24	4	2	0	6	18
355	10	32	8	0	0	8	24
356	10	32	8	2	0	10	22
357	10	32	4	2	0	6	26
358	10	32	8	0	0	8	24
359	9	26	4	1	0	5	21
360	9	24	12	0	0	12	12
361	9	24	6	3	0	9	15
362	9	26	8	2	0	10	16
363	10	30	12	0	0	12	18
364	9	24	6	6	0	12	12
365	10	30	12	0	0	12	18
366	9	24	12	0	0	12	12
367	9	24	6	0	0	6	18
368	8	18	6	3	0	9	9
369	9	24	3	3	0	6	18
370	10	30	6	0	0	6	24
371	9	26	4	1	0	5	21
372	10	34	4	0	0	4	30
373	11	40	8	0	0	8	32
374	10	32	4	1	0	5	27
375	10	34	8	0	0	8	26
376	9	26	4	1	0	5	21
377	9	24	3	0	0	3	21
378	9	24	6	3	0	9	15
379	9	28	8	1	0	9	19
380	10	30	6	0	0	6	24
381	10	30	15	0	0	15	15
382	9	24	3	3	0	6	18
383	9	24	6	0	0	6	18
384	9	24	6	0	0	6	18
385	9	24	6	3	0	9	15
386	8	18	3	3	0	6	12
387	10	34	4	4	0	8	26
388	11	42	8	0	0	8	34
389	11	42	8	0	0	8	34
390	10	36	4	0	0	4	32
391	11	48	24	0	0	24	24
392	10	36	8	0	0	8	28
393	10	36	4	2	0	6	30
394	10	34	8	4	0	12	22
395	11	42	8	0	0	8	34
396	10	34	4	4	0	8	26
397	10	32	8	2	0	10	22
398	9	26	8	2	0	10	16
399	10	34	2	2	0	4	30
400	11	42	4	0	0	4	38
401	10	36	4	0	0	4	32
402	11	42	6	0	0	6	36
403	10	36	6	0	0	6	30
404	10	34	4	2	0	6	28
405	10	32	4	0	0	4	28
406	10	36	20	0	0	20	16
407	9	26	4	0	0	4	22
408	9	26	4	8	0	12	14
409	10	34	12	0	0	12	22
410	9	26	12	4	0	16	10
411	9	26	6	0	0	6	20
412	9	24	4	2	0	6	18
413	10	30	20	0	0	20	10
414	9	24	8	2	0	10	14
415	8	18	4	4	0	8	10
416	10	34	4	2	0	6	28
417	10	36	8	0	0	8	28
418	11	44	8	0	0	8	36
419	10	34	8	1	0	9	25
420	10	34	8	0	0	8	26
421	11	42	16	0	0	16	26
422	10	34	4	4	0	8	26
423	11	42	8	0	0	8	34
424	10	36	16	0	0	16	20
425	10	34	16	1	0	17	17
426	9	26	4	2	0	6	20
427	11	42	8	0	0	8	34
428	10	36	6	0	0	6	30
429	11	48	48	0	0	48	0
430	10	36	8	0	0	8	28
431	10	34	6	0	0	6	28
432	10	34	8	0	0	8	26
433	9	26	6	0	0	6	20
434	9	26	8	0	0	8	18
435	9	26	4	0	0	4	22
436	10	34	8	2	0	10	24
437	10	36	16	0	0	16	20
438	9	26	8	1	0	9	17
439	9	24	4	1	0	5	19
440	9	26	4	1	0	5	21
441	10	34	8	0	0	8	26
442	9	26	4	2	0	6	20
443	10	32	8	0	0	8	24
444	9	26	4	1	0	5	21
445	10	34	8	4	0	12	22
446	10	36	16	0	0	16	20
447	9	26	8	2	0	10	16
448	9	26	8	2	0	10	16
449	10	32	8	2	0	10	22
450	9	26	8	2	0	10	16
451	10	32	16	0	0	16	16
452	9	24	8	1	0	9	15
453	9	26	8	1	0	9	17
454	9	26	16	0	0	16	10
455	8	18	8	1	0	9	9
456	8	18	4	4	0	8	10
457	8	20	6	4	0	10	10
458	9	28	28	0	0	28	0
459	8	20	4	8	0	12	8
460	8	18	6	3	0	9	9
461	8	18	3	6	0	9	9
462	9	24	9	0	0	9	15
463	8	20	6	2	0	8	12
464	9	26	12	0	0	12	14
465	9	26	12	4	0	16	10
466	8	20	12	2	0	14	6
467	9	24	6	6	0	12	12
468	10	30	30	0	0	30	0
469	9	24	12	6	0	18	6
470	8	18	6	12	0	18	0
471	9	24	12	0	0	12	12
472	8	18	6	3	0	9	9
473	8	18	12	3	0	15	3
474	8	18	18	0	0	18	0
475	7	12	6	6	0	12	0
476	11	40	16	8	0	24	16
477	12	48	16	0	0	16	32
478	11	40	8	8	0	16	24
479	10	32	16	16	0	32	0
480	10	32	8	8	0	16	16
481	11	40	8	0	0	8	32
482	11	40	8	8	0	16	24
483	12	48	8	0	0	8	40
484	11	40	8	8	0	16	24
485	11	40	8	4	0	12	28
486	12	48	8	0	0	8	40
487	11	40	4	4	0	8	32
488	11	40	16	0	0	16	24
489	10	32	8	8	0	16	16
490	11	40	8	0	0	8	32
491	12	48	8	0	0	8	40
492	11	40	8	8	0	16	24
493	11	42	8	4	0	12	30
494	11	40	16	8	0	24	16
495	12	48	16	0	0	16	32
496	12	48	16	0	0	16	32
497	11	40	8	8	0	16	24
498	11	40	8	0	0	8	32
499	10	32	8	4	0	12	20
500	10	32	16	4	0	20	12
501	10	32	8	4	0	12	20
502	10	32	16	16	0	32	0
503	10	32	16	0	0	16	16
504	9	24	16	8	0	24	0
505	11	40	8	4	0	12	28
506	12	48	8	0	0	8	40
507	11	40	4	4	0	8	32
508	10	32	8	8	0	16	16
509	11	40	8	0	0	8	32
510	12	50	8	2	0	10	40
511	13	60	24	0	0	24	36
512	14	72	24	0	0	24	48
513	13	60	8	0	0	8	52
514	13	60	12	0	0	12	48
515	12	50	4	2	0	6	44
516	11	42	4	0	0	4	38
517	11	40	8	0	0	8	32
518	12	48	24	0	0	24	24
519	11	40	8	4	0	12	28
520	10	32	8	0	0	8	24
521	10	32	4	4	0	8	24
522	11	40	4	4	0	8	32
523	12	48	4	0	0	4	44
524	11	40	4	4	0	8	32
525	11	40	4	2	0	6	34
526	12	48	4	0	0	4	44
527	11	40	2	2	0	4	36
528	11	40	8	0	0	8	32
529	10	32	4	4	0	8	24
530	11	40	4	0	0	4	36
531	12	48	8	0	0	8	40
532	11	40	8	4	0	12	28
533	11	42	4	2	0	6	36
534	11	40	8	4	0	12	28
535	12	48	8	0	0	8	40
536	12	48	24	0	0	24	24
537	11	40	4	4	0	8	32
538	11	40	8	0	0	8	32
539	10	32	8	0	0	8	24
540	10	32	4	0	0	4	28
541	10	32	8	8	0	16	16
542	11	40	16	0	0	16	24
543	10	32	16	0	0	16	16
544	10	32	8	0	0	8	24
545	9	24	8	0	0	8	16
546	10	32	4	4	0	8	24
547	11	40	4	0	0	4	36
548	10	34	8	2	0	10	24
549	10	34	8	2	0	10	24
550	10	34	4	2	0	6	28
551	10	32	8	4	0	12	20
552	10	32	8	0	0	8	24
553	11	40	16	0	0	16	24
554	10	32	4	2	0	6	26
555	10	34	4	4	0	8	26
556	10	32	8	8	0	16	16
557	11	40	8	0	0	8	32
558	11	40	16	0	0	16	24
559	10	32	8	0	0	8	24
560	10	32	16	0	0	16	16
561	9	24	8	4	0	12	12
562	11	40	16	8	0	24	16
563	12	48	16	0	0	16	32
564	11	40	8	0	0	8	32
565	11	42	4	4	0	8	34
566	11	42	4	0	0	4	38
567	11	40	8	8	0	16	24
568	12	48	8	0	0	8	40
569	12	48	16	0	0	16	32
570	11	40	16	0	0	16	24
571	10	32	8	4	0	12	20
572	11	40	8	0	0	8	32
573	10	32	4	4	0	8	24
574	11	40	16	0	0	16	24
575	12	48	16	0	0	16	32
576	11	40	8	0	0	8	32
577	11	42	8	4	0	12	30
578	11	40	4	0	0	4	36
579	11	40	8	4	0	12	28
580	12	48	8	0	0	8	40
581	11	42	16	0	0	16	26
582	11	40	4	4	0	8	32
583	11	40	8	0	0	8	32
584	10	32	8	2	0	10	22
585	10	32	4	2	0	6	26
586	10	32	16	0	0	16	16
587	10	32	8	2	0	10	22
588	10	32	8	4	0	12	20
589	11	40	16	0	0	16	24
590	11	40	16	0	0	16	24
591	10	32	16	0	0	16	16
592	10	32	8	8	0	16	16
593	10	32	8	0	0	8	24
594	9	24	8	4	0	12	12
595	10	30	6	0	0	6	24
596	10	30	3	3	0	6	24
597	11	40	8	0	0	8	32
598	10	32	8	0	0	8	24
599	10	32	4	2	0	6	26
600	11	42	8	0	0	8	34
601	10	30	12	6	0	18	12
602	11	36	12	0	0	12	24
603	10	30	6	6	0	12	18
604	11	42	8	0	0	8	34
605	10	32	4	2	0	6	26
606	10	30	6	6	0	12	18
607	11	36	6	0	0	6	30
608	10	30	6	6	0	12	18
609	11	40	8	0	0	8	32
610	12	48	16	0	0	16	32
611	12	48	48	0	0	48	0
612	11	40	16	0	0	16	24
613	11	40	16	8	0	24	16
614	10	32	8	0	0	8	24
615	10	32	16	4	0	20	12
616	10	30	6	3	0	9	21
617	11	36	6	0	0	6	30
618	10	30	3	3	0	6	24
619	11	42	8	4	0	12	30
620	11	44	16	0	0	16	28
621	10	34	8	1	0	9	25
622	11	40	16	8	0	24	16
623	12	48	16	0	0	16	32
624	12	48	48	0	0	48	0
625	11	36	12	0	0	12	24
626	11	36	12	0	0	12	24
627	11	36	36	0	0	36	0
628	10	30	6	0	0	6	24
629	10	30	12	6	0	18	12
630	10	30	12	0	0	12	18
631	11	40	8	8	0	16	24
632	11	40	16	0	0	16	24
633	10	32	16	4	0	20	12
634	10	32	8	4	0	12	20
635	10	30	12	0	0	12	18
636	10	30	12	6	0	18	12
637	10	30	6	3	0	9	21
638	10	30	6	6	0	12	18
639	10	30	12	0	0	12	18
640	10	30	12	0	0	12	18
641	10	34	16	0	0	16	18
642	9	22	12	2	0	14	8
643	9	22	12	2	0	14	8
644	9	22	6	2	0	8	14
645	9	22	6	2	0	8	14
646	9	24	12	12	0	24	0
647	9	24	8	4	0	12	12
648	9	24	6	6	0	12	12
649	9	26	16	2	0	18	8
650	9	26	8	4	0	12	14
651	10	32	16	16	0	32	0
652	10	32	16	0	0	16	16
653	9	24	16	8	0	24	0
654	9	24	6	6	0	12	12
655	9	24	12	12	0	24	0
656	10	32	32	0	0	32	0
657	9	24	12	0	0	12	12
658	8	16	12	4	0	16	0
659	10	34	4	0	0	4	30
660	10	32	2	2	0	4	28
661	11	40	4	0	0	4	36
662	11	40	4	2	0	6	34
663	12	50	8	0	0	8	42
664	13	60	24	0	0	24	36
665	12	48	12	0	0	12	36
666	11	42	8	0	0	8	34
667	10	32	4	0	0	4	28
668	10	32	4	0	0	4	28
669	10	32	8	0	0	8	24
670	10	32	4	0	0	4	28
671	11	40	8	0	0	8	32
672	11	40	20	0	0	20	20
673	10	32	4	4	0	8	24
674	10	32	8	0	0	8	24
675	10	32	8	0	0	8	24
676	10	32	8	0	0	8	24
677	9	24	4	0	0	4	20
678	12	50	8	2	0	10	40
679	13	60	24	0	0	24	36
680	14	72	72	0	0	72	0
681	12	48	24	0	0	24	24
682	11	40	8	1	0	9	31
683	10	30	8	0	0	8	22
684	10	32	8	2	0	10	22
685	10	32	4	1	0	5	27
686	11	40	8	0	0	8	32
687	10	32	8	0	0	8	24
688	10	30	8	2	0	10	20
689	11	36	8	0	0	8	28
690	10	30	4	2	0	6	24
691	12	48	24	0	0	24	24
692	11	40	8	4	0	12	28
693	12	48	48	0	0	48	0
694	11	36	24	0	0	24	12
695	11	40	16	0	0	16	24
696	10	30	8	0	0	8	22
697	10	30	8	2	0	10	20
698	10	32	8	0	0	8	24
699	10	32	8	2	0	10	22
700	9	22	8	0	0	8	14
701	10	34	4	2	0	6	28
702	10	32	4	2	0	6	26
703	11	40	8	0	0	8	32
704	10	32	8	0	0	8	24
705	10	34	8	0	0	8	26
706	10	32	8	0	0	8	24
707	10	32	4	4	0	8	24
708	10	34	8	0	0	8	26
709	9	24	4	2	0	6	18
710	9	22	4	0	0	4	18
711	9	24	8	4	0	12	12
712	9	24	4	0	0	4	20
713	10	32	12	0	0	12	20
714	9	26	8	0	0	8	18
715	9	24	4	2	0	6	18
716	9	26	12	0	0	12	14
717	10	32	8	8	0	16	16
718	11	40	40	0	0	40	0
719	10	32	16	0	0	16	16
720	9	24	8	0	0	8	16
721	10	32	16	0	0	16	16
722	9	24	8	4	0	12	12
723	9	24	16	0	0	16	8
724	9	24	24	0	0	24	0
725	8	16	8	0	0	8	8
726	10	34	8	2	0	10	24
727	9	24	6	1	0	7	17
728	9	22	6	2	0	8	14
729	9	22	6	1	0	7	15
730	9	24	3	1	0	4	20
731	9	22	3	1	0	4	18
732	9	24	6	6	0	12	12
733	10	30	6	0	0	6	24
734	9	24	6	6	0	12	12
735	10	30	12	0	0	12	18
736	9	26	4	2	0	6	20
737	10	32	8	4	0	12	20
738	10	32	16	0	0	16	16
739	9	26	8	2	0	10	16
740	10	32	16	0	0	16	16
741	10	32	16	0	0	16	16
742	9	24	16	0	0	16	8
743	9	24	4	2	0	6	18
744	10	32	8	0	0	8	24
745	9	24	3	3	0	6	18
746	10	30	6	0	0	6	24
747	10	32	8	2	0	10	22
748	9	26	8	1	0	9	17
749	10	32	8	8	0	16	16
750	11	40	16	0	0	16	24
751	10	32	16	0	0	16	16
752	9	24	8	4	0	12	12
753	10	30	12	0	0	12	18
754	10	30	30	0	0	30	0
755	9	24	12	0	0	12	12
756	9	24	6	6	0	12	12
757	9	24	12	0	0	12	12
758	9	24	12	0	0	12	12
759	9	22	6	2	0	8	14
760	9	22	6	1	0	7	15
761	9	22	12	0	0	12	10
762	9	26	16	0	0	16	10
763	8	16	6	2	0	8	8
764	10	30	6	0	0	6	24
765	9	24	6	3	0	9	15
766	9	20	8	4	0	12	8
767	10	24	8	0	0	8	16
768	9	20	4	4	0	8	12
769	9	20	4	4	0	8	12
770	10	24	4	0	0	4	20
771	10	30	6	0	0	6	24
772	10	30	12	0	0	12	18
773	9	22	12	0	0	12	10
774	10	32	8	2	0	10	22
775	9	24	8	1	0	9	15
776	10	30	12	6	0	18	12
777	11	36	12	0	0	12	24
778	10	30	6	6	0	12	18
779	9	24	12	3	0	15	9
780	9	24	6	3	0	9	15
781	10	30	6	3	0	9	21
782	11	36	18	0	0	18	18
783	9	24	6	0	0	6	18
784	11	40	16	8	0	24	16
785	12	48	48	0	0	48	0
786	11	36	36	0	0	36	0
787	10	30	12	0	0	12	18
788	10	30	12	6	0	18	12
789	10	24	8	0	0	8	16
790	10	24	24	0	0	24	0
791	9	20	8	0	0	8	12
792	9	20	8	4	0	12	8
793	9	20	4	4	0	8	12
794	9	20	8	0	0	8	12
795	9	20	8	4	0	12	8
796	9	20	20	0	0	20	0
797	10	32	16	4	0	20	12
798	9	22	6	1	0	7	15
799	9	22	12	2	0	14	8
800	9	24	12	0	0	12	12
801	9	24	12	3	0	15	9
802	8	14	8	1	0	9	5
803	8	14	4	1	0	5	9
804	8	16	8	8	0	16	0
805	8	16	6	2	0	8	8
806	9	20	4	0	0	4	16
807	8	16	4	4	0	8	8
808	9	22	6	2	0	8	14
809	8	18	6	1	0	7	11
810	8	16	4	4	0	8	8
811	8	18	6	1	0	7	11
812	9	24	12	12	0	24	0
813	9	24	12	0	0	12	12
814	8	18	12	6	0	18	0
815	9	24	6	6	0	12	12
816	9	24	12	0	0	12	12
817	8	18	6	0	0	6	12
818	9	24	8	4	0	12	12
819	8	18	8	2	0	10	8
820	9	24	6	3	0	9	15
821	9	24	6	6	0	12	12
822	8	18	6	3	0	9	9
823	9	26	16	2	0	18	8
824	8	18	12	1	0	13	5
825	8	18	9	2	0	11	7
826	8	14	4	1	0	5	9
827	10	32	16	16	0	32	0
828	10	32	32	0	0	32	0
829	9	24	16	8	0	24	0
830	9	24	12	12	0	24	0
831	9	24	24	0	0	24	0
832	8	16	6	2	0	8	8
833	8	16	12	4	0	16	0
834	8	16	8	8	0	16	0
835	8	16	4	4	0	8	8
836	9	24	24	0	0	24	0
837	8	16	8	4	0	12	4
838	8	16	8	8	0	16	0
839	8	16	16	0	0	16	0
840	8	18	12	6	0	18	0
841	7	10	8	2	0	10	0
842	7	10	5	5	0	10	0
843	8	16	8	8	0	16	0
844	8	16	8	0	0	8	8
845	7	12	8	4	0	12	0
846	8	16	4	4	0	8	8
847	7	12	4	8	0	12	0
848	8	18	9	9	0	18	0
849	8	18	6	3	0	9	9
850	9	24	12	12	0	24	0
851	8	18	12	6	0	18	0
852	8	18	9	9	0	18	0
853	8	18	18	0	0	18	0
854	7	12	9	3	0	12	0
855	10	32	32	32	32	0	32
856	9	24	24	24	24	0	24
857	8	16	8	8	0	16	0
858	8	16	16	16	16	0	16
859	7	10	5	5	0	10	0
860	8	18	18	18	18	0	18
861	7	10	5	5	0	10	0
862	7	10	10	10	10	0	10
863	7	12	8	4	0	12	0
864	7	12	12	12	12	0	12
865	6	6	6	6	6	0	6
