Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
6000	11	48	12	2	0	14	34
6001	11	48	12	2	0	14	34
6002	11	48	12	2	0	14	34
6003	11	48	12	2	0	14	34
6004	11	48	6	2	0	8	40
6005	11	44	12	4	0	16	28
6006	11	48	12	0	0	12	36
6007	11	44	6	2	0	8	36
6008	11	48	6	2	0	8	40
6009	11	44	6	2	0	8	36
6010	11	48	6	6	0	12	36
6011	11	44	3	1	0	4	40
6012	11	49	3	3	0	6	43
6013	11	48	12	12	0	24	24
6014	12	60	12	0	0	12	48
6015	11	48	12	12	0	24	24
6016	12	60	12	0	0	12	48
6017	12	64	16	8	0	24	40
6018	11	52	8	4	0	12	40
6019	12	64	16	8	0	24	40
6020	12	64	16	0	0	16	48
6021	11	52	16	4	0	20	32
6022	11	52	16	4	0	20	32
6023	12	64	32	0	0	32	32
6024	12	64	16	4	0	20	44
6025	12	64	16	0	0	16	48
6026	13	80	32	0	0	32	48
6027	13	80	32	0	0	32	48
6028	12	64	16	0	0	16	48
6029	12	64	32	0	0	32	32
6030	11	48	16	0	0	16	32
6031	11	52	4	2	0	6	46
6032	11	48	8	4	0	12	36
6033	12	64	8	0	0	8	56
6034	12	64	16	0	0	16	48
6035	12	68	8	0	0	8	60
6036	11	48	6	6	0	12	36
6037	12	60	6	0	0	6	54
6038	12	64	8	4	0	12	52
6039	12	64	16	0	0	16	48
6040	11	52	16	2	0	18	34
6041	12	68	8	8	0	16	52
6042	12	72	16	0	0	16	56
6043	11	52	8	4	0	12	40
6044	12	64	16	16	0	32	32
6045	13	80	16	0	0	16	64
6046	13	80	32	0	0	32	48
6047	12	64	16	0	0	16	48
6048	12	64	32	0	0	32	32
6049	11	48	16	8	0	24	24
6050	12	60	24	0	0	24	36
6051	12	60	12	0	0	12	48
6052	12	60	12	0	0	12	48
6053	12	60	24	0	0	24	36
6054	12	60	24	0	0	24	36
6055	11	48	12	0	0	12	36
6056	11	48	12	12	0	24	24
6057	11	48	24	0	0	24	24
6058	11	48	12	0	0	12	36
6059	11	44	12	4	0	16	28
6060	11	44	6	2	0	8	36
6061	12	64	32	0	0	32	32
6062	11	44	12	0	0	12	32
6063	11	44	12	0	0	12	32
6064	11	44	24	0	0	24	20
6065	11	52	16	0	0	16	36
6066	10	32	12	4	0	16	16
6067	12	60	12	0	0	12	48
6068	12	60	6	6	0	12	48
6069	12	60	6	0	0	6	54
6070	12	61	3	3	0	6	55
6071	12	64	8	4	0	12	52
6072	13	84	16	0	0	16	68
6073	13	80	16	0	0	16	64
6074	14	96	16	0	0	16	80
6075	13	84	16	8	0	24	60
6076	13	80	32	16	0	48	32
6077	14	96	32	0	0	32	64
6078	14	96	32	0	0	32	64
6079	13	80	16	0	0	16	64
6080	13	80	16	0	0	16	64
6081	12	64	16	0	0	16	48
6082	12	64	32	8	0	40	24
6083	12	64	16	0	0	16	48
6084	12	64	8	4	0	12	52
6085	13	84	8	0	0	8	76
6086	13	84	8	8	0	16	68
6087	13	88	16	0	0	16	72
6088	13	84	16	0	0	16	68
6089	12	68	16	2	0	18	50
6090	12	68	16	2	0	18	50
6091	12	60	12	12	0	24	36
6092	13	72	12	0	0	12	60
6093	12	60	12	12	0	24	36
6094	12	60	6	6	0	12	48
6095	13	72	6	0	0	6	66
6096	12	60	6	6	0	12	48
6097	13	84	8	0	0	8	76
6098	13	84	16	0	0	16	68
6099	13	80	16	16	0	32	48
6100	14	96	16	0	0	16	80
6101	14	96	32	0	0	32	64
6102	13	80	32	0	0	32	48
6103	13	72	24	0	0	24	48
6104	13	72	12	0	0	12	60
6105	13	72	12	0	0	12	60
6106	14	96	96	0	0	96	0
6107	13	72	12	0	0	12	60
6108	13	72	24	0	0	24	48
6109	12	60	24	12	0	36	24
6110	12	60	12	6	0	18	42
6111	12	60	12	0	0	12	48
6112	12	60	12	6	0	18	42
6113	12	60	12	12	0	24	36
6114	12	60	24	0	0	24	36
6115	12	60	12	0	0	12	48
6116	12	64	16	8	0	24	40
6117	12	68	16	0	0	16	52
6118	11	44	24	4	0	28	16
6119	11	44	12	4	0	16	28
6120	13	80	32	0	0	32	48
6121	12	64	16	0	0	16	48
6122	12	64	8	2	0	10	54
6123	12	64	8	4	0	12	52
6124	13	80	16	0	0	16	64
6125	13	80	16	0	0	16	64
6126	12	64	16	0	0	16	48
6127	12	64	8	8	0	16	48
6128	12	64	8	0	0	8	56
6129	11	48	8	4	0	12	36
6130	12	60	6	0	0	6	54
6131	12	60	3	3	0	6	54
6132	12	60	6	6	0	12	48
6133	13	80	8	0	0	8	72
6134	12	64	8	0	0	8	56
6135	12	64	4	2	0	6	58
6136	13	84	16	0	0	16	68
6137	13	80	16	0	0	16	64
6138	14	96	16	0	0	16	80
6139	13	80	16	0	0	16	64
6140	13	80	32	0	0	32	48
6141	14	96	32	0	0	32	64
6142	14	96	32	0	0	32	64
6143	13	80	16	0	0	16	64
6144	13	80	16	0	0	16	64
6145	12	64	16	0	0	16	48
6146	12	64	32	0	0	32	32
6147	12	64	16	0	0	16	48
6148	12	60	12	6	0	18	42
6149	13	72	12	0	0	12	60
6150	12	60	6	6	0	12	48
6151	13	84	8	0	0	8	76
6152	12	64	4	2	0	6	58
6153	12	60	6	3	0	9	51
6154	13	72	6	0	0	6	66
6155	12	60	3	3	0	6	54
6156	12	60	12	6	0	18	42
6157	13	72	12	0	0	12	60
6158	12	60	6	6	0	12	48
6159	13	84	16	8	0	24	60
6160	13	88	16	0	0	16	72
6161	12	68	16	2	0	18	50
6162	12	68	8	2	0	10	58
6163	12	60	6	6	0	12	48
6164	13	72	6	0	0	6	66
6165	12	60	6	6	0	12	48
6166	13	80	8	0	0	8	72
6167	13	80	16	0	0	16	64
6168	13	84	16	0	0	16	68
6169	13	84	16	0	0	16	68
6170	12	64	8	0	0	8	56
6171	12	64	16	4	0	20	44
6172	13	80	16	8	0	24	56
6173	14	96	16	0	0	16	80
6174	13	84	32	0	0	32	52
6175	13	72	24	0	0	24	48
6176	13	72	12	0	0	12	60
6177	13	72	12	0	0	12	60
6178	13	72	12	0	0	12	60
6179	13	72	24	0	0	24	48
6180	13	72	36	0	0	36	36
6181	12	60	24	0	0	24	36
6182	12	61	12	3	0	15	46
6183	12	60	12	0	0	12	48
6184	12	60	6	0	0	6	54
6185	12	60	12	6	0	18	42
6186	12	60	12	0	0	12	48
6187	13	80	8	8	0	16	64
6188	13	80	16	0	0	16	64
6189	12	64	16	4	0	20	44
6190	12	64	8	4	0	12	52
6191	12	60	12	0	0	12	48
6192	12	60	12	0	0	12	48
6193	12	60	6	3	0	9	51
6194	12	60	12	6	0	18	42
6195	12	60	12	0	0	12	48
6196	12	60	12	6	0	18	42
6197	12	60	6	6	0	12	48
6198	12	60	12	0	0	12	48
6199	12	60	12	0	0	12	48
6200	12	60	12	0	0	12	48
6201	12	68	16	0	0	16	52
6202	12	68	16	0	0	16	52
6203	11	44	12	2	0	14	30
6204	11	44	12	2	0	14	30
6205	11	44	6	2	0	8	36
6206	11	48	6	2	0	8	40
6207	11	44	12	2	0	14	30
6208	11	44	12	4	0	16	28
6209	11	44	6	2	0	8	36
6210	11	44	6	2	0	8	36
6211	12	64	32	0	0	32	32
6212	12	64	32	0	0	32	32
6213	11	48	32	0	0	32	16
6214	11	52	8	4	0	12	40
6215	11	52	16	2	0	18	34
6216	12	60	24	0	0	24	36
6217	11	48	12	12	0	24	24
6218	12	64	16	0	0	16	48
6219	11	48	8	4	0	12	36
6220	12	60	12	0	0	12	48
6221	11	48	6	6	0	12	36
6222	12	64	16	4	0	20	44
6223	12	60	12	0	0	12	48
6224	11	48	12	12	0	24	24
6225	12	64	16	8	0	24	40
6226	12	64	32	0	0	32	32
6227	12	68	16	0	0	16	52
6228	11	52	16	4	0	20	32
6229	11	52	16	8	0	24	28
6230	12	60	12	0	0	12	48
6231	11	48	6	6	0	12	36
6232	12	68	32	0	0	32	36
6233	12	68	16	0	0	16	52
6234	11	52	16	2	0	18	34
6235	11	52	8	4	0	12	40
6236	13	80	32	0	0	32	48
6237	13	80	32	0	0	32	48
6238	12	64	32	0	0	32	32
6239	12	60	12	0	0	12	48
6240	12	60	12	0	0	12	48
6241	12	60	12	0	0	12	48
6242	12	60	24	0	0	24	36
6243	12	60	24	0	0	24	36
6244	11	44	12	2	0	14	30
6245	11	44	12	4	0	16	28
6246	11	44	24	0	0	24	20
6247	12	64	16	16	0	32	32
6248	12	64	16	0	0	16	48
6249	11	48	16	8	0	24	24
6250	11	48	24	0	0	24	24
6251	11	48	6	6	0	12	36
6252	11	48	12	12	0	24	24
6253	11	48	6	6	0	12	36
6254	11	48	12	12	0	24	24
6255	11	48	24	0	0	24	24
6256	11	48	12	0	0	12	36
6257	11	52	32	0	0	32	20
6258	10	32	12	4	0	16	16
6259	11	40	8	0	0	8	32
6260	11	40	4	4	0	8	32
6261	11	40	4	4	0	8	32
6262	12	60	12	0	0	12	48
6263	11	48	12	6	0	18	30
6264	11	44	6	2	0	8	36
6265	11	40	16	8	0	24	16
6266	12	48	16	0	0	16	32
6267	11	40	8	8	0	16	24
6268	11	44	6	2	0	8	36
6269	11	40	8	8	0	16	24
6270	12	48	8	0	0	8	40
6271	11	40	8	8	0	16	24
6272	12	60	12	0	0	12	48
6273	13	72	12	0	0	12	60
6274	12	60	12	0	0	12	48
6275	12	60	12	0	0	12	48
6276	12	60	12	0	0	12	48
6277	11	48	12	6	0	18	30
6278	11	48	12	0	0	12	36
6279	11	40	8	4	0	12	28
6280	12	48	8	0	0	8	40
6281	11	40	4	4	0	8	32
6282	11	48	12	1	0	13	35
6283	11	48	6	1	0	7	41
6284	12	60	6	6	0	12	48
6285	11	48	6	0	0	6	42
6286	11	40	8	8	0	16	24
6287	12	48	8	0	0	8	40
6288	11	40	8	8	0	16	24
6289	12	60	6	0	0	6	54
6290	12	60	6	0	0	6	54
6291	12	60	12	0	0	12	48
6292	11	48	6	0	0	6	42
6293	12	60	6	0	0	6	54
6294	11	48	6	3	0	9	39
6295	12	61	6	3	0	9	52
6296	11	40	8	4	0	12	28
6297	12	48	8	0	0	8	40
6298	11	40	4	4	0	8	32
6299	12	61	6	3	0	9	52
6300	12	64	12	0	0	12	52
6301	11	48	6	1	0	7	41
6302	11	40	4	4	0	8	32
6303	12	48	4	0	0	4	44
6304	11	40	4	4	0	8	32
6305	12	60	6	0	0	6	54
6306	12	60	6	6	0	12	48
6307	12	63	12	0	0	12	51
6308	12	60	12	0	0	12	48
6309	12	63	12	0	0	12	51
6310	11	48	6	3	0	9	39
6311	12	64	8	0	0	8	56
6312	12	64	8	0	0	8	56
6313	12	60	12	0	0	12	48
6314	13	80	16	0	0	16	64
6315	13	80	16	0	0	16	64
6316	13	80	32	0	0	32	48
6317	12	64	16	0	0	16	48
6318	12	60	12	0	0	12	48
6319	12	64	16	0	0	16	48
6320	12	60	12	0	0	12	48
6321	12	60	24	0	0	24	36
6322	11	44	6	0	0	6	38
6323	11	44	12	0	0	12	32
6324	12	64	8	4	0	12	52
6325	12	64	8	0	0	8	56
6326	13	84	16	0	0	16	68
6327	12	64	8	4	0	12	52
6328	13	84	16	0	0	16	68
6329	12	64	16	0	0	16	48
6330	11	48	8	2	0	10	38
6331	12	64	16	4	0	20	44
6332	12	60	12	0	0	12	48
6333	13	72	12	0	0	12	60
6334	12	60	12	12	0	24	36
6335	12	63	12	6	0	18	45
6336	12	60	24	12	0	36	24
6337	13	72	24	0	0	24	48
6338	13	72	24	0	0	24	48
6339	12	60	12	12	0	24	36
