Pol	|V|	|F|	|S|	|B|	|A|	|X|	|E|
710	12	75	18	2	0	20	55
711	11	54	4	4	0	8	46
712	12	78	78	0	0	78	0
713	11	57	34	0	0	34	23
714	12	73	21	1	0	22	51
715	11	57	34	0	0	34	23
716	10	41	13	1	0	14	27
717	11	49	4	3	0	7	42
718	12	72	20	2	0	22	50
719	13	102	60	1	0	61	41
720	14	140	140	0	0	140	0
721	12	70	70	0	0	70	0
722	11	52	30	3	0	33	19
723	10	37	4	6	0	10	27
724	11	49	24	0	0	24	25
725	10	37	4	6	0	10	27
726	10	37	11	6	0	17	20
727	10	40	14	3	0	17	23
728	9	25	4	9	0	13	12
729	10	34	34	0	0	34	0
730	10	32	4	4	0	8	24
731	10	33	3	2	0	5	28
732	10	32	12	0	0	12	20
733	9	24	4	8	0	12	12
734	11	49	9	0	0	9	40
735	10	37	3	6	0	9	28
736	11	46	6	0	0	6	40
737	10	37	9	3	0	12	25
738	11	49	9	0	0	9	40
739	10	40	6	3	0	9	31
740	10	37	3	6	0	9	28
741	11	47	6	1	0	7	40
742	11	50	9	0	0	9	41
743	10	39	6	1	0	7	32
744	11	49	9	0	0	9	40
745	10	37	3	6	0	9	28
746	11	46	3	0	0	3	43
747	11	49	6	0	0	6	43
748	10	36	9	2	0	11	25
749	11	49	9	0	0	9	40
750	10	40	6	2	0	8	32
751	11	50	9	1	0	10	40
752	12	76	16	0	0	16	60
753	11	56	4	4	0	8	48
754	11	52	4	2	0	6	46
755	11	52	6	0	0	6	46
756	10	40	4	2	0	6	34
757	12	73	17	0	0	17	56
758	12	73	17	0	0	17	56
759	11	53	3	4	0	7	46
760	11	57	6	2	0	8	49
761	12	70	6	0	0	6	64
762	11	53	6	2	0	8	45
763	11	53	6	2	0	8	45
764	12	66	12	0	0	12	54
765	11	57	3	2	0	5	52
766	12	73	6	1	0	7	66
767	11	57	12	0	0	12	45
768	12	78	34	0	0	34	44
769	11	53	12	2	0	14	39
