Pol	|V|	|F|	|S|	|B|	|A|	|X|	|E|
345	10	43	12	2	0	14	29
346	10	40	4	2	0	6	34
347	10	44	6	0	0	6	38
348	10	44	6	2	0	8	36
349	11	52	8	4	0	12	40
350	11	52	12	0	0	12	40
351	10	40	8	4	0	12	28
352	11	52	12	0	0	12	40
353	10	40	8	2	0	10	30
354	10	40	6	2	0	8	32
355	10	40	8	2	0	10	30
356	10	40	12	0	0	12	28
357	10	44	26	0	0	26	18
358	9	28	8	2	0	10	18
359	11	40	8	8	0	16	24
360	12	48	8	0	0	8	40
361	11	40	8	8	0	16	24
362	11	40	8	4	0	12	28
363	12	48	8	0	0	8	40
364	11	40	4	4	0	8	32
365	11	44	6	2	0	8	36
366	11	40	16	0	0	16	24
367	10	32	8	8	0	16	16
368	11	44	6	2	0	8	36
369	10	32	8	8	0	16	16
370	11	40	8	0	0	8	32
371	11	40	4	4	0	8	32
372	12	48	4	0	0	4	44
373	11	40	4	4	0	8	32
374	11	44	3	1	0	4	40
375	11	40	8	0	0	8	32
376	10	32	4	4	0	8	24
377	12	55	12	1	0	13	42
378	13	66	12	0	0	12	54
379	12	55	6	1	0	7	48
380	11	47	12	1	0	13	34
381	11	47	6	1	0	7	40
382	11	40	4	0	0	4	36
383	12	48	4	0	0	4	44
384	11	40	4	4	0	8	32
385	11	47	6	1	0	7	40
386	11	40	8	4	0	12	28
387	12	48	8	0	0	8	40
388	12	48	8	0	0	8	40
389	11	40	4	4	0	8	32
390	11	40	4	0	0	4	36
391	10	32	4	4	0	8	24
392	10	32	8	4	0	12	20
393	10	32	4	4	0	8	24
394	12	60	8	0	0	8	52
395	11	52	8	0	0	8	44
396	11	44	12	2	0	14	30
397	10	36	12	2	0	14	22
398	11	48	12	2	0	14	34
399	11	52	8	0	0	8	44
400	11	44	6	2	0	8	36
401	11	44	6	0	0	6	38
402	10	36	6	2	0	8	28
403	10	36	12	2	0	14	22
404	10	32	8	8	0	16	16
405	11	40	16	0	0	16	24
406	10	32	16	8	0	24	8
407	10	32	8	0	0	8	24
408	9	24	8	8	0	16	8
409	11	40	8	8	0	16	24
410	12	48	8	0	0	8	40
411	11	40	8	8	0	16	24
412	11	44	6	2	0	8	36
413	11	40	8	0	0	8	32
414	10	32	8	8	0	16	16
415	11	40	8	4	0	12	28
416	12	48	8	0	0	8	40
417	11	40	4	4	0	8	32
418	11	44	6	2	0	8	36
419	10	32	8	8	0	16	16
420	11	40	8	0	0	8	32
421	11	40	4	4	0	8	32
422	12	48	4	0	0	4	44
423	11	40	4	4	0	8	32
424	13	66	6	0	0	6	60
425	12	55	6	1	0	7	48
426	12	55	3	1	0	4	51
427	11	47	6	0	0	6	41
428	11	47	3	0	0	3	44
429	11	40	8	0	0	8	32
430	11	40	4	0	0	4	36
431	12	48	8	0	0	8	40
432	11	40	8	4	0	12	28
433	11	47	6	0	0	6	41
434	12	48	8	0	0	8	40
435	12	48	24	0	0	24	24
436	11	40	8	4	0	12	28
437	11	40	4	4	0	8	32
438	11	40	8	0	0	8	32
439	10	32	8	0	0	8	24
440	10	32	8	0	0	8	24
441	10	32	4	0	0	4	28
442	11	44	3	1	0	4	40
443	10	32	4	4	0	8	24
444	12	60	4	0	0	4	56
445	11	52	4	0	0	4	48
446	11	48	12	0	0	12	36
447	11	52	8	0	0	8	44
448	11	44	6	2	0	8	36
449	11	44	12	0	0	12	32
450	10	36	6	0	0	6	30
451	11	48	12	0	0	12	36
452	11	52	8	0	0	8	44
453	11	44	6	2	0	8	36
454	11	44	12	0	0	12	32
455	10	36	6	0	0	6	30
456	10	36	6	0	0	6	30
457	10	32	8	8	0	16	16
458	11	40	8	0	0	8	32
459	10	32	8	0	0	8	24
460	10	32	8	0	0	8	24
461	9	24	8	0	0	8	16
462	11	40	6	2	0	8	32
463	12	48	6	0	0	6	42
464	11	40	6	2	0	8	32
465	11	40	16	8	0	24	16
466	12	48	16	0	0	16	32
467	11	40	8	0	0	8	32
468	11	40	8	0	0	8	32
469	12	48	8	0	0	8	40
470	11	40	8	8	0	16	24
471	11	43	6	2	0	8	35
472	11	43	6	2	0	8	35
473	11	40	8	8	0	16	24
474	12	48	8	0	0	8	40
475	11	40	8	8	0	16	24
476	12	48	16	0	0	16	32
477	12	48	8	0	0	8	40
478	11	40	16	0	0	16	24
479	11	40	8	0	0	8	32
480	10	32	16	4	0	20	12
481	10	32	8	4	0	12	20
482	10	32	8	4	0	12	20
483	10	32	8	4	0	12	20
484	10	32	4	4	0	8	24
485	11	40	4	0	0	4	36
486	11	44	6	2	0	8	36
487	11	44	4	0	0	4	40
488	11	40	12	0	0	12	28
489	10	32	6	2	0	8	24
490	11	44	12	0	0	12	32
491	11	44	6	2	0	8	36
492	11	44	6	2	0	8	36
493	11	44	6	0	0	6	38
494	10	36	6	1	0	7	29
495	10	32	16	0	0	16	16
496	10	32	8	4	0	12	20
497	10	35	12	2	0	14	21
498	11	40	16	0	0	16	24
499	10	32	8	8	0	16	16
500	11	40	16	0	0	16	24
501	10	32	16	0	0	16	16
502	10	32	8	0	0	8	24
503	9	24	8	4	0	12	12
504	10	32	4	4	0	8	24
505	11	40	4	0	0	4	36
506	11	44	6	2	0	8	36
507	11	44	4	0	0	4	40
508	10	32	6	2	0	8	24
509	11	40	6	0	0	6	34
510	11	44	6	0	0	6	38
511	11	44	12	2	0	14	30
