Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
2000	10	39	12	0	0	12	27
2001	10	36	6	3	0	9	27
2002	10	39	12	0	0	12	27
2003	10	36	8	2	0	10	26
2004	11	52	16	0	0	16	36
2005	10	40	8	0	0	8	32
2006	10	40	8	2	0	10	30
2007	11	48	12	12	0	24	24
2008	12	60	24	0	0	24	36
2009	11	48	24	0	0	24	24
2010	11	48	12	0	0	12	36
2011	10	36	12	0	0	12	24
2012	11	48	24	0	0	24	24
2013	11	48	12	0	0	12	36
2014	12	60	60	0	0	60	0
2015	10	36	12	6	0	18	18
2016	10	36	24	0	0	24	12
2017	10	36	8	2	0	10	26
2018	10	36	12	6	0	18	18
2019	11	48	24	0	0	24	24
2020	11	48	48	0	0	48	0
2021	10	36	12	0	0	12	24
2022	10	36	24	0	0	24	12
2023	10	36	24	0	0	24	12
2024	9	24	12	0	0	12	12
2025	11	48	8	4	0	12	36
2026	12	60	8	0	0	8	52
2027	11	52	8	2	0	10	42
2028	11	48	4	0	0	4	44
2029	12	60	4	0	0	4	56
2030	11	52	4	0	0	4	48
2031	11	48	8	2	0	10	38
2032	11	48	8	0	0	8	40
2033	12	60	16	0	0	16	44
2034	11	48	4	1	0	5	43
2035	11	48	8	2	0	10	38
2036	11	52	8	4	0	12	40
2037	11	48	4	0	0	4	44
2038	11	52	4	0	0	4	48
2039	11	48	8	4	0	12	36
2040	12	60	8	0	0	8	52
2041	12	60	16	0	0	16	44
2042	11	48	8	0	0	8	40
2043	11	48	16	0	0	16	32
2044	10	36	8	2	0	10	26
2045	11	52	16	2	0	18	34
2046	11	52	8	2	0	10	42
2047	10	37	6	1	0	7	30
2048	10	33	9	3	0	12	21
2049	10	36	9	0	0	9	27
2050	11	45	18	0	0	18	27
2051	10	33	6	1	0	7	26
2052	10	33	6	1	0	7	26
2053	10	36	6	3	0	9	27
2054	11	45	12	0	0	12	33
2055	10	33	3	2	0	5	28
2056	10	37	3	6	0	9	28
2057	10	36	9	9	0	18	18
2058	11	45	9	0	0	9	36
2059	10	36	9	9	0	18	18
2060	11	45	9	0	0	9	36
2061	11	48	12	6	0	18	30
2062	10	39	6	3	0	9	30
2063	11	48	12	6	0	18	30
2064	11	48	12	0	0	12	36
2065	10	39	12	3	0	15	24
2066	10	39	12	3	0	15	24
2067	11	48	24	0	0	24	24
2068	11	48	16	2	0	18	30
2069	11	52	16	0	0	16	36
2070	11	48	12	0	0	12	36
2071	12	60	24	0	0	24	36
2072	12	60	24	0	0	24	36
2073	11	48	12	0	0	12	36
2074	11	48	24	0	0	24	24
2075	10	36	12	0	0	12	24
2076	10	36	6	3	0	9	27
2077	11	48	6	0	0	6	42
2078	11	48	12	0	0	12	36
2079	11	51	6	0	0	6	45
2080	10	36	6	3	0	9	27
2081	11	45	6	0	0	6	39
2082	11	48	8	2	0	10	38
2083	11	48	16	0	0	16	32
2084	11	52	8	4	0	12	40
2085	10	40	8	2	0	10	30
2086	11	48	12	12	0	24	24
2087	12	60	12	0	0	12	48
2088	12	60	24	0	0	24	36
2089	11	48	12	0	0	12	36
2090	11	48	24	0	0	24	24
2091	10	36	12	6	0	18	18
2092	11	45	18	0	0	18	27
2093	11	45	12	0	0	12	33
2094	11	45	9	0	0	9	36
2095	11	45	18	0	0	18	27
2096	11	45	18	0	0	18	27
2097	11	45	45	0	0	45	0
2098	10	36	18	0	0	18	18
2099	10	36	9	0	0	9	27
2100	10	36	9	9	0	18	18
2101	10	36	18	0	0	18	18
2102	10	36	9	0	0	9	27
2103	10	33	9	3	0	12	21
2104	10	33	6	1	0	7	26
2105	11	48	24	0	0	24	24
2106	10	33	12	1	0	13	20
2107	10	33	9	0	0	9	24
2108	10	33	18	0	0	18	15
2109	10	39	12	0	0	12	27
2110	9	24	9	3	0	12	12
2111	12	64	16	8	0	24	40
2112	12	64	8	0	0	8	56
2113	11	48	16	8	0	24	24
2114	12	64	8	0	0	8	56
2115	12	68	16	0	0	16	52
2116	12	64	32	8	0	40	24
2117	12	64	16	8	0	24	40
2118	12	64	32	0	0	32	32
2119	11	52	16	4	0	20	32
2120	12	64	8	0	0	8	56
2121	12	64	16	0	0	16	48
2122	11	48	8	0	0	8	40
2123	12	64	16	0	0	16	48
2124	12	64	8	0	0	8	56
2125	12	64	16	0	0	16	48
2126	11	52	8	0	0	8	44
2127	11	52	16	0	0	16	36
2128	11	48	16	8	0	24	24
2129	11	48	16	0	0	16	32
2130	10	36	16	4	0	20	16
2131	12	64	16	0	0	16	48
2132	12	68	8	0	0	8	60
2133	12	64	16	0	0	16	48
2134	12	64	8	0	0	8	56
2135	12	64	16	0	0	16	48
2136	11	52	8	0	0	8	44
2137	11	48	12	0	0	12	36
2138	11	48	24	6	0	30	18
2139	11	49	6	3	0	9	40
2140	11	48	12	3	0	15	33
2141	11	48	12	6	0	18	30
2142	11	56	8	4	0	12	44
2143	12	68	16	0	0	16	52
2144	12	68	16	0	0	16	52
2145	12	68	16	0	0	16	52
2146	11	56	16	4	0	20	36
2147	11	56	16	0	0	16	40
2148	11	48	12	6	0	18	30
2149	11	52	8	2	0	10	42
2150	11	48	6	3	0	9	39
2151	11	55	16	2	0	18	37
2152	11	48	12	6	0	18	30
2153	12	64	32	8	0	40	24
2154	11	52	32	4	0	36	16
2155	11	48	6	0	0	6	42
2156	11	56	16	0	0	16	40
2157	12	64	16	8	0	24	40
2158	12	64	32	0	0	32	32
2159	11	52	16	4	0	20	32
2160	11	48	12	3	0	15	33
2161	11	48	24	6	0	30	18
2162	11	48	12	0	0	12	36
2163	11	48	12	6	0	18	30
2164	11	48	24	0	0	24	24
2165	10	36	12	2	0	14	22
2166	11	48	24	0	0	24	24
2167	12	64	24	0	0	24	40
2168	12	64	24	0	0	24	40
2169	11	52	24	0	0	24	28
2170	11	48	8	0	0	8	40
2171	11	48	8	0	0	8	40
2172	10	36	8	0	0	8	28
2173	12	64	16	0	0	16	48
2174	11	48	12	0	0	12	36
2175	11	48	6	0	0	6	42
2176	11	48	12	0	0	12	36
2177	12	68	8	0	0	8	60
2178	11	56	8	2	0	10	46
2179	11	48	6	0	0	6	42
2180	11	52	4	0	0	4	48
2181	11	48	3	0	0	3	45
2182	11	48	6	0	0	6	42
2183	11	56	16	0	0	16	40
2184	11	48	6	0	0	6	42
2185	12	64	16	0	0	16	48
2186	11	52	16	0	0	16	36
2187	12	64	8	0	0	8	56
2188	12	64	16	0	0	16	48
2189	11	52	8	0	0	8	44
2190	11	48	18	0	0	18	30
2191	11	48	12	0	0	12	36
2192	11	48	6	0	0	6	42
2193	11	48	12	0	0	12	36
2194	11	48	12	0	0	12	36
2195	11	48	6	0	0	6	42
2196	11	48	18	0	0	18	30
2197	11	48	12	0	0	12	36
2198	11	56	24	0	0	24	32
