Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
3000	13	84	12	0	0	12	72
3001	12	68	8	0	0	8	60
3002	11	52	12	0	0	12	40
3003	12	68	12	0	0	12	56
3004	11	52	4	0	0	4	48
3005	13	84	20	0	0	20	64
3006	12	68	6	4	0	10	58
3007	12	72	6	4	0	10	62
3008	12	68	6	4	0	10	58
3009	13	84	6	0	0	6	78
3010	13	84	20	0	0	20	64
3011	12	72	12	0	0	12	60
3012	13	84	12	0	0	12	72
3013	12	68	4	2	0	6	62
3014	12	68	6	2	0	8	60
3015	13	92	24	2	0	26	66
3016	14	120	24	0	0	24	96
3017	13	92	6	0	0	6	86
3018	13	92	12	2	0	14	78
3019	12	68	4	4	0	8	60
3020	12	68	6	0	0	6	62
3021	11	52	6	4	0	10	42
3022	12	68	20	0	0	20	48
3023	11	52	4	4	0	8	44
3024	13	84	24	0	0	24	60
3025	12	68	8	4	0	12	56
3026	12	72	4	2	0	6	66
3027	12	68	8	4	0	12	56
3028	13	84	8	0	0	8	76
3029	13	84	24	0	0	24	60
3030	12	68	8	4	0	12	56
3031	13	92	24	4	0	28	64
3032	14	120	24	0	0	24	96
3033	13	92	8	0	0	8	84
3034	12	68	12	0	0	12	56
3035	11	52	8	4	0	12	40
3036	12	68	24	0	0	24	44
3037	11	52	6	4	0	10	42
3038	12	68	8	0	0	8	60
3039	12	68	20	0	0	20	48
3040	12	68	12	0	0	12	56
3041	13	84	32	0	0	32	52
3042	12	68	32	0	0	32	36
3043	12	68	12	0	0	12	56
3044	11	52	12	0	0	12	40
3045	12	68	12	0	0	12	56
3046	13	84	12	0	0	12	72
3047	12	68	8	0	0	8	60
3048	12	68	32	0	0	32	36
3049	13	84	40	0	0	40	44
3050	12	68	12	0	0	12	56
3051	11	52	4	4	0	8	44
3052	12	72	6	0	0	6	66
3053	12	68	8	0	0	8	60
3054	13	92	12	0	0	12	80
3055	13	84	48	0	0	48	36
3056	12	68	20	0	0	20	48
3057	11	52	8	0	0	8	44
3058	11	52	12	4	0	16	36
3059	12	64	12	0	0	12	52
3060	12	72	8	0	0	8	64
3061	12	72	40	0	0	40	32
3062	12	72	24	0	0	24	48
3063	13	84	40	0	0	40	44
3064	12	68	12	8	0	20	48
3065	13	84	40	0	0	40	44
3066	12	64	40	0	0	40	24
3067	12	68	12	0	0	12	56
3068	12	72	32	0	0	32	40
3069	11	52	8	0	0	8	44
3070	11	52	12	4	0	16	36
3071	11	52	32	0	0	32	20
3072	11	52	12	4	0	16	36
3073	12	64	12	0	0	12	52
3074	12	72	12	0	0	12	60
3075	12	72	6	0	0	6	66
3076	11	52	6	2	0	8	44
3077	12	64	6	0	0	6	58
3078	12	72	6	4	0	10	62
3079	12	76	12	0	0	12	64
3080	12	72	6	4	0	10	62
3081	12	72	8	0	0	8	64
3082	12	72	12	0	0	12	60
3083	12	72	20	0	0	20	52
3084	12	72	40	0	0	40	32
3085	12	68	12	8	0	20	48
3086	13	84	12	0	0	12	72
3087	13	84	40	0	0	40	44
3088	13	84	40	0	0	40	44
3089	12	72	32	0	0	32	40
3090	12	64	12	0	0	12	52
3091	12	64	40	0	0	40	24
3092	11	52	12	4	0	16	36
3093	11	52	12	0	0	12	40
3094	12	72	12	0	0	12	60
3095	11	52	8	2	0	10	42
3096	12	64	8	0	0	8	56
3097	11	52	4	4	0	8	44
3098	12	74	6	2	0	8	66
3099	13	99	24	2	0	26	73
3100	12	72	8	0	0	8	64
3101	13	96	24	0	0	24	72
3102	12	72	8	2	0	10	62
3103	13	84	24	0	0	24	60
3104	12	64	24	0	0	24	40
3105	12	68	8	4	0	12	56
3106	12	72	42	0	0	42	30
3107	11	52	8	2	0	10	42
3108	11	52	20	0	0	20	32
3109	12	68	12	4	0	16	52
3110	13	92	48	4	0	52	40
3111	14	120	48	0	0	48	72
3112	13	92	12	0	0	12	80
3113	14	120	120	0	0	120	0
3114	13	92	48	0	0	48	44
3115	12	72	42	0	0	42	30
3116	13	92	24	4	0	28	64
3117	12	72	12	0	0	12	60
3118	11	52	8	2	0	10	42
3119	11	52	12	2	0	14	38
3120	11	52	20	2	0	22	30
3121	12	68	8	8	0	16	52
3122	12	68	12	0	0	12	56
3123	11	52	12	8	0	20	32
3124	12	68	40	0	0	40	28
3125	11	52	8	8	0	16	36
3126	12	68	12	0	0	12	56
3127	12	72	32	0	0	32	40
3128	11	52	12	4	0	16	36
3129	11	52	8	4	0	12	40
3130	11	52	32	4	0	36	16
3131	11	52	12	4	0	16	36
3132	12	72	32	0	0	32	40
3133	11	52	6	2	0	8	44
3134	11	52	8	4	0	12	40
3135	11	52	12	0	0	12	40
3136	11	52	12	0	0	12	40
3137	11	56	32	0	0	32	24
3138	11	56	12	0	0	12	44
3139	11	56	20	0	0	20	36
3140	11	56	32	8	0	40	16
3141	11	56	12	0	0	12	44
3142	11	56	20	4	0	24	32
3143	10	36	12	4	0	16	20
3144	10	36	8	4	0	12	24
3145	15	126	60	0	0	60	66
3146	14	102	18	0	0	18	84
3147	14	105	20	0	0	20	85
3148	13	85	6	2	0	8	77
3149	13	85	20	0	0	20	65
3150	12	69	6	0	0	6	63
3151	13	85	6	2	0	8	77
3152	14	102	18	0	0	18	84
3153	15	138	72	0	0	72	66
3154	16	180	180	0	0	180	0
3155	14	115	24	1	0	25	90
3156	15	150	60	0	0	60	90
3157	13	78	18	0	0	18	60
3158	14	102	102	0	0	102	0
3159	12	65	6	4	0	10	55
3160	13	85	34	0	0	34	51
3161	11	49	6	0	0	6	43
3162	11	52	6	8	0	14	38
3163	11	52	3	4	0	7	45
3164	12	68	6	0	0	6	62
3165	12	68	16	0	0	16	52
3166	12	68	6	0	0	6	62
3167	13	84	42	0	0	42	42
3168	12	68	16	0	0	16	52
3169	11	52	6	0	0	6	46
3170	11	52	6	0	0	6	46
3171	12	64	6	0	0	6	58
3172	12	72	20	0	0	20	52
3173	13	84	20	0	0	20	64
3174	12	68	6	4	0	10	58
3175	12	64	20	0	0	20	44
3176	11	52	6	0	0	6	46
3177	11	52	16	0	0	16	36
3178	12	68	6	4	0	10	58
