Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
7340	11	40	16	8	0	24	16
7341	11	40	40	0	0	40	0
7342	11	30	10	0	0	10	20
7343	11	30	5	0	0	5	25
7344	12	54	54	0	0	54	0
7345	11	30	10	0	0	10	20
7346	11	30	30	0	0	30	0
7347	10	25	10	0	0	10	15
7348	10	25	10	5	0	15	10
7349	10	25	5	5	0	10	15
7350	11	40	16	0	0	16	24
7351	10	25	5	5	0	10	15
7352	11	45	18	0	0	18	27
7353	11	45	45	0	0	45	0
7354	11	45	18	9	0	27	18
7355	10	25	10	0	0	10	15
7356	10	25	10	5	0	15	10
7357	10	25	5	5	0	10	15
7358	10	25	10	0	0	10	15
7359	10	25	10	5	0	15	10
7360	10	25	25	0	0	25	0
7361	12	64	32	8	0	40	24
7362	11	44	12	2	0	14	30
7363	11	44	24	4	0	28	16
7364	10	28	8	1	0	9	19
7365	11	48	24	0	0	24	24
7366	11	48	24	6	0	30	18
7367	10	28	8	1	0	9	19
7368	10	28	16	2	0	18	10
7369	10	32	8	4	0	12	20
7370	10	32	16	0	0	16	16
7371	10	32	16	0	0	16	16
7372	10	32	8	0	0	8	24
7373	10	33	12	1	0	13	20
7374	10	33	18	0	0	18	15
7375	10	33	18	0	0	18	15
7376	10	33	12	1	0	13	20
7377	10	32	16	4	0	20	12
7378	10	32	8	4	0	12	20
7379	10	32	8	0	0	8	24
7380	10	32	16	0	0	16	16
7381	10	32	16	4	0	20	12
7382	10	33	18	3	0	21	12
7383	9	17	10	1	0	11	6
7384	9	17	5	1	0	6	11
7385	9	20	10	10	0	20	0
7386	9	20	8	2	0	10	10
7387	10	25	5	0	0	5	20
7388	9	20	5	5	0	10	10
7389	10	28	8	2	0	10	18
7390	10	28	8	2	0	10	18
7391	10	28	8	0	0	8	20
7392	9	23	8	1	0	9	14
7393	9	20	5	5	0	10	10
7394	9	23	8	1	0	9	14
7395	10	25	5	0	0	5	20
7396	9	20	5	5	0	10	10
7397	10	28	4	1	0	5	23
7398	9	23	4	1	0	5	18
7399	10	36	12	0	0	12	24
7400	10	32	16	16	0	32	0
7401	10	32	16	0	0	16	16
7402	9	24	16	8	0	24	0
7403	10	32	8	8	0	16	16
7404	11	40	16	0	0	16	24
7405	10	32	8	0	0	8	24
7406	10	32	16	0	0	16	16
7407	9	24	8	0	0	8	16
7408	10	32	12	4	0	16	16
7409	10	32	12	0	0	12	20
7410	9	24	12	2	0	14	10
7411	10	32	8	0	0	8	24
7412	10	35	6	2	0	8	27
7413	10	32	6	1	0	7	25
7414	10	32	8	4	0	12	20
7415	11	40	8	0	0	8	32
7416	10	32	8	0	0	8	24
7417	10	32	8	8	0	16	16
7418	9	24	8	4	0	12	12
7419	10	36	6	1	0	7	29
7420	10	33	9	3	0	12	21
7421	10	33	6	0	0	6	27
7422	10	33	9	3	0	12	21
7423	11	44	12	4	0	16	28
7424	10	33	9	3	0	12	21
7425	10	36	12	2	0	14	22
7426	9	25	9	1	0	10	15
7427	10	32	8	8	0	16	16
7428	10	32	8	0	0	8	24
7429	9	24	8	8	0	16	8
7430	10	32	6	2	0	8	24
7431	9	24	6	4	0	10	14
7432	10	32	8	4	0	12	20
7433	10	32	8	8	0	16	16
7434	10	32	8	0	0	8	24
7435	9	24	8	4	0	12	12
7436	10	32	4	0	0	4	28
7437	10	32	4	4	0	8	24
7438	10	32	8	0	0	8	24
7439	9	24	4	4	0	8	16
7440	10	33	6	1	0	7	26
7441	10	36	12	2	0	14	22
7442	10	36	12	1	0	13	23
7443	9	25	12	1	0	13	12
7444	10	32	8	0	0	8	24
7445	10	39	6	3	0	9	30
7446	10	39	18	0	0	18	21
7447	10	36	18	18	0	36	0
7448	10	36	12	6	0	18	18
7449	10	36	12	6	0	18	18
7450	10	40	16	4	0	20	20
7451	10	36	9	9	0	18	18
7452	10	39	24	3	0	27	12
7453	10	39	12	6	0	18	21
7454	11	48	24	24	0	48	0
7455	11	48	24	0	0	24	24
7456	10	36	24	12	0	36	0
7457	10	36	12	6	0	18	18
