Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
1000	12	54	12	0	0	12	42
1001	11	45	6	3	0	9	36
1002	11	48	6	0	0	6	42
1003	10	36	12	6	0	18	18
1004	11	48	6	0	0	6	42
1005	11	48	8	2	0	10	38
1006	11	48	24	6	0	30	18
1007	11	51	12	0	0	12	39
1008	11	48	12	6	0	18	30
1009	11	48	24	0	0	24	24
1010	10	39	12	3	0	15	24
1011	10	36	6	3	0	9	27
1012	11	45	6	0	0	6	39
1013	11	48	6	0	0	6	42
1014	11	48	12	0	0	12	36
1015	10	36	6	0	0	6	30
1016	11	48	4	0	0	4	44
1017	11	48	12	0	0	12	36
1018	11	48	6	0	0	6	42
1019	11	48	12	0	0	12	36
1020	10	39	6	0	0	6	33
1021	10	36	8	2	0	10	26
1022	10	39	12	0	0	12	27
1023	10	36	12	6	0	18	18
1024	10	36	12	0	0	12	24
1025	9	27	12	3	0	15	12
1026	12	63	30	0	0	30	33
1027	11	51	9	6	0	15	36
1028	11	55	6	2	0	8	47
1029	11	51	9	6	0	15	36
1030	12	63	9	0	0	9	54
1031	12	63	9	0	0	9	54
1032	12	63	18	0	0	18	45
1033	11	51	6	3	0	9	42
1034	11	55	6	2	0	8	47
1035	11	51	9	3	0	12	39
1036	12	69	36	3	0	39	30
1037	13	90	36	0	0	36	54
1038	12	69	9	0	0	9	60
1039	12	69	18	3	0	21	48
1040	11	51	6	6	0	12	39
1041	11	51	6	0	0	6	45
1042	10	39	9	6	0	15	24
1043	11	51	30	0	0	30	21
1044	10	39	6	6	0	12	27
1045	11	51	9	0	0	9	42
1046	10	39	3	6	0	9	30
1047	11	45	9	9	0	18	27
1048	12	54	9	0	0	9	45
1049	11	45	9	9	0	18	27
1050	11	48	6	3	0	9	39
1051	11	48	6	3	0	9	39
1052	11	45	18	0	0	18	27
1053	10	36	9	9	0	18	18
1054	11	48	6	3	0	9	39
1055	10	36	9	9	0	18	18
1056	11	45	9	0	0	9	36
1057	11	51	6	6	0	12	39
1058	12	63	12	0	0	12	51
1059	12	63	6	0	0	6	57
1060	12	63	6	0	0	6	57
1061	11	54	9	0	0	9	45
1062	12	72	30	0	0	30	42
1063	11	54	6	0	0	6	48
1064	12	64	8	1	0	9	55
1065	11	55	8	1	0	9	46
1066	11	51	12	6	0	18	33
1067	11	48	12	3	0	15	33
1068	10	39	12	3	0	15	24
1069	11	48	4	1	0	5	43
1070	11	51	6	0	0	6	45
1071	12	63	6	0	0	6	57
1072	11	51	12	0	0	12	39
1073	11	54	6	0	0	6	48
1074	11	48	6	3	0	9	39
1075	11	48	6	0	0	6	42
1076	10	39	6	0	0	6	33
1077	11	48	6	3	0	9	39
1078	11	48	3	0	0	3	45
1079	10	36	6	3	0	9	27
1080	11	55	8	1	0	9	46
1081	11	48	6	3	0	9	39
1082	11	48	6	3	0	9	39
1083	11	48	6	0	0	6	42
1084	10	39	6	3	0	9	30
1085	10	39	12	3	0	15	24
1086	10	36	9	9	0	18	18
1087	11	45	18	0	0	18	27
1088	10	36	18	9	0	27	9
1089	10	36	9	0	0	9	27
1090	9	27	9	9	0	18	9
1091	11	51	12	0	0	12	39
1092	10	39	4	4	0	8	31
1093	10	43	4	2	0	6	37
1094	12	63	12	0	0	12	51
1095	11	51	6	6	0	12	39
1096	11	48	6	3	0	9	39
1097	12	63	12	0	0	12	51
1098	11	54	6	0	0	6	48
1099	12	72	36	0	0	36	36
1100	11	54	12	0	0	12	42
1101	11	51	12	6	0	18	33
1102	11	55	8	2	0	10	45
1103	11	48	12	3	0	15	33
1104	12	63	12	0	0	12	51
1105	11	51	6	6	0	12	39
1106	10	39	12	3	0	15	24
1107	11	45	6	3	0	9	36
1108	12	54	6	0	0	6	48
1109	11	48	3	0	0	3	45
1110	11	45	12	0	0	12	33
1111	10	36	6	3	0	9	27
1112	11	51	3	3	0	6	45
1113	12	63	6	0	0	6	57
1114	11	54	6	0	0	6	48
1115	12	63	6	0	0	6	57
1116	11	54	6	0	0	6	48
1117	11	51	6	3	0	9	42
1118	11	48	6	0	0	6	42
1119	11	54	18	0	0	18	36
1120	10	39	6	0	0	6	33
1121	10	39	6	12	0	18	21
1122	11	51	18	0	0	18	33
1123	10	39	18	6	0	24	15
1124	11	51	9	0	0	9	42
1125	11	51	9	0	0	9	42
1126	10	39	9	0	0	9	30
1127	10	39	4	4	0	8	31
1128	10	36	6	3	0	9	27
1129	11	51	6	0	0	6	45
1130	12	63	30	0	0	30	33
1131	11	45	30	0	0	30	15
1132	11	51	12	0	0	12	39
1133	10	36	12	3	0	15	21
1134	10	39	6	0	0	6	33
1135	11	51	51	0	0	51	0
1136	10	39	9	0	0	9	30
1137	9	27	6	6	0	12	15
1138	10	40	8	2	0	10	30
1139	10	40	4	2	0	6	34
1140	11	51	12	0	0	12	39
1141	10	39	6	6	0	12	27
1142	11	45	12	3	0	15	30
