Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
4000	11	52	4	2	0	6	46
4001	11	56	8	0	0	8	48
4002	12	68	8	4	0	12	56
4003	12	72	16	0	0	16	56
4004	11	56	8	0	0	8	48
4005	12	69	8	2	0	10	59
4006	11	48	8	2	0	10	38
4007	11	52	8	2	0	10	42
4008	11	52	4	0	0	4	48
4009	12	68	16	0	0	16	52
4010	11	48	4	1	0	5	43
4011	12	72	8	0	0	8	64
4012	11	55	8	0	0	8	47
4013	11	55	8	0	0	8	47
4014	12	72	8	0	0	8	64
4015	11	55	8	1	0	9	46
4016	11	52	8	4	0	12	40
4017	12	64	8	0	0	8	56
4018	12	68	16	0	0	16	52
4019	12	68	8	0	0	8	60
4020	13	84	16	0	0	16	68
4021	12	64	16	4	0	20	44
4022	11	52	16	0	0	16	36
4023	11	52	4	0	0	4	48
4024	12	68	8	0	0	8	60
4025	13	84	16	0	0	16	68
4026	13	88	32	0	0	32	56
4027	12	68	32	0	0	32	36
4028	12	72	16	0	0	16	56
4029	12	68	32	0	0	32	36
4030	12	68	32	2	0	34	34
4031	11	52	16	0	0	16	36
4032	11	52	8	0	0	8	44
4033	12	72	32	0	0	32	40
4034	11	52	32	0	0	32	20
4035	11	52	4	2	0	6	46
4036	11	56	8	0	0	8	48
4037	12	72	16	0	0	16	56
4038	12	64	16	0	0	16	48
4039	11	52	8	0	0	8	44
4040	12	64	8	4	0	12	52
4041	12	64	16	0	0	16	48
4042	11	52	8	0	0	8	44
4043	12	64	16	0	0	16	48
4044	12	64	16	0	0	16	48
4045	11	52	8	2	0	10	42
4046	11	52	16	0	0	16	36
4047	11	48	8	1	0	9	39
4048	11	48	8	2	0	10	38
4049	11	48	16	0	0	16	32
4050	11	56	12	0	0	12	44
4051	11	52	32	0	0	32	20
4052	10	36	8	0	0	8	28
4053	10	33	6	3	0	9	24
4054	10	36	8	4	0	12	24
4055	10	40	12	4	0	16	24
4056	11	56	34	0	0	34	22
4057	10	40	6	8	0	14	26
4058	10	36	12	6	0	18	18
4059	10	36	12	6	0	18	18
4060	10	36	6	6	0	12	24
4061	11	48	12	0	0	12	36
4062	10	36	6	3	0	9	27
4063	11	51	12	6	0	18	33
4064	10	39	12	3	0	15	24
4065	10	39	6	6	0	12	27
4066	11	48	12	0	0	12	36
4067	10	39	6	3	0	9	30
4068	10	39	12	3	0	15	24
4069	11	52	12	0	0	12	40
4070	10	40	12	4	0	16	24
4071	11	52	16	0	0	16	36
4072	10	40	8	0	0	8	32
4073	11	52	16	0	0	16	36
4074	11	52	16	4	0	20	32
4075	10	40	8	2	0	10	30
4076	10	40	16	2	0	18	22
4077	11	48	12	12	0	24	24
4078	12	60	24	0	0	24	36
4079	11	48	24	12	0	36	12
4080	11	48	12	0	0	12	36
4081	10	36	12	12	0	24	12
4082	11	51	12	0	0	12	39
4083	11	52	16	4	0	20	32
4084	11	48	24	0	0	24	24
4085	11	48	12	0	0	12	36
4086	12	60	60	0	0	60	0
4087	10	36	12	6	0	18	18
4088	10	36	24	6	0	30	6
4089	10	36	6	3	0	9	27
4090	10	36	12	6	0	18	18
4091	11	48	24	0	0	24	24
4092	11	48	48	0	0	48	0
4093	10	36	12	0	0	12	24
4094	10	36	24	0	0	24	12
4095	9	24	12	6	0	18	6
